feature,orX,orY,orZ,rX,rY,rZ,accX,accY,accZ,mX,mY,mZ,gX,gY,gZ,soundLevel
Mean,126.7,-17.0,2.0,0.06995357,-0.13229000000000002,-0.8800488999999999,0.11492176000000003,2.68151,8.657430000000002,-31.199999999999996,-35.720000000000006,-36.92,-0.03520796,2.6806049999999995,8.653112999999998,50.590999999999994
Median,127.0,-17.0,2.0,0.0707716,-0.131888,-0.879645,0.153229,2.68151,8.65743,-31.2,-35.6,-36.8,-0.04522195,2.6813,8.65458,50.25
varience,0.4099999999999998,0.0,0.0,2.5547494161000053e-06,6.823035999999936e-07,3.1194728899999543e-06,0.0058697785456703995,0.0,3.1554436208840472e-30,1.262177448353619e-29,0.033599999999999755,0.12960000000000124,0.0005129129456119,3.2416249999998895e-06,2.530300100000236e-05,2.046229000000002
standard_deviation,0.6403124237432847,0.0,0.0,0.0015983583503394992,0.0008260167068528297,0.0017662029583261245,0.07661448,0.0,1.7763568394002505e-15,3.552713678800501e-15,0.18330302779823293,0.3600000000000017,0.02264758145171135,0.0018004513323052888,0.0050302088425832146,1.4304646098383567
covarience,0.5053768143198775,-0.0,0.0,2.284884603229684,-0.6243984479951845,-0.2006937294423213,66.66664346247393,0.0,2.0518292835174527e-14,-1.1386902816668274e-14,-0.5131663712156576,-0.9750812567714022,-64.3251737723837,0.06716585742044386,0.05813178266114422,2.8275080742392062
root_mean_square,126.7016179849334,17.0,2.0,0.0699718279392571,0.13229257879261405,0.8800506723275087,0.13811875132351872,2.68151,8.65743,31.2,35.72047032165171,36.92175510454507,0.041863031339996144,2.680605604644219,8.653114462074912,50.61121921076393
sum_of_squares,160533.0,2890.0,40.0,0.04896056705161,0.17501326403599998,7.744891858641,0.19076789467168,71.904958801,749.5109420489999,9734.4,12759.520000000004,13632.159999999998,0.017525133929734996,71.8564640765,748.7638989377,25614.9551
zero_cross,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
